"product_id","user_id","rating","title","review","status"
"5","24","5","What is Lorem Ipsum?","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.

It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.","1"
"5","24","5","What is Lorem Ipsum?","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s.","1"
"5","25","4","Good Product","Really liked the quality, meets my expectations and worth the price.","1"
"5","26","5","Excellent Choice","This product exceeded my expectations. Build quality is top notch.","1"
"5","27","3","Average","Product is okay but could have been better in terms of finish.","1"
"5","28","2","Not Great","The product did not match the description properly.","1"
"5","29","5","Highly Recommend","Very satisfied, definitely worth buying.","1"
"5","30","4","Nice Quality","Good build and works as expected. Packaging was decent.","1"
"5","31","5","Superb","I am really happy with this purchase. Will buy again.","1"
"5","32","3","Just Okay","Nothing too special, average experience overall.","1"
"5","33","4","Value for Money","Great quality for the price paid. Recommended.","1"
"5","34","5","Perfect!","Exactly what I was looking for. No issues at all.","1"
"5","35","2","Disappointed","Did not meet my expectations. Quality seems compromised.","1"
"5","36","5","Best in Class","One of the best products I’ve used in recent times.","1"
"5","37","4","Works Well","Everything functions as expected. Satisfied with the purchase.","1"
"5","38","3","Mediocre","It’s okay but not something I’d purchase again.","1"
"5","39","5","Impressive","The attention to detail in the design is impressive.","1"
"5","40","1","Bad Experience","Unfortunately, the product arrived damaged and unusable.","1"
"5","41","5","Loved It","Absolutely loved the product, great overall experience.","1"
"5","42","4","Decent Buy","Does the job, no complaints so far.","1"
"5","43","3","Satisfactory","Not too bad, but not too great either. Average product.","1"
"5","44","5","Fantastic","This has been a fantastic purchase, highly reliable.","1"
"5","45","4","Good Enough","It works fine, meets the basic needs.","1"
"5","46","5","Top Quality","Very durable and premium looking. Great choice.","1"
"5","47","2","Could Be Better","Not fully satisfied, expected more for the price.","1"
"5","48","5","Amazing Product","One of the best purchases I’ve made recently.","1"
"5","49","4","Pretty Good","Happy with the product overall. Will consider repurchasing.","1"
"5","50","5","Excellent Purchase","Couldn’t be more satisfied. Product is top quality.","1"
